row_type,Column1,team_name,country,country_iso,bf_team1,bf_fuzzy1,bf_team2,bf_fuzzy2,bf_team3,bf_fuzzy3,bf_team4,bf_fuzzy4,bf_team5,bf_fuzzy5,bf_team6,bf_fuzzy6,bf_team7,bf_fuzzy7,bf_team8,bf_fuzzy8,bf_team9,bf_fuzzy9,bf_team10,bf_fuzzy10,bf_team11,bf_fuzzy11,bf_team12,bf_fuzzy12,bf_team13,bf_fuzzy13,manual_insertion1stround,manual_insertion2ndround
names_match,19,PSG,France,FR,1,100,0,90,0,67,0,60,0,60,0,60,0,60,0,60,0,57,0,57,1,46,0,40,0,38,,
bf_teamnames,18,Quevilly Rouen,France,FR,Quevilly Rouen,100,Quevilly,90,Rouen,90,US Quevilly,80,Grand Quevilly,75,Grand-Quevilly,75,Sevilla,64,Luneville,61,Ailly-sur-Somme,55,Lille,54,Rodez,54,Italy,54,Aubervilliers,52,,
names_match,18,Quevilly Rouen,France,FR,1,100,1,90,0,90,1,80,0,75,0,75,0,64,0,61,0,55,0,54,0,54,0,54,0,52,,
bf_teamnames,4,Red Star,France,FR,Red Star,100,Red Star FC,95,Red Bull Salzburg,86,Golden Star,64,Brest,62,Targu Mures,60,USA,60,St-Renan,59,Rennes TA,59,St Pryve St H,57,test a,57,Frejus St-Raphael,56,ESTAC Troyes,56,,
names_match,4,Red Star,France,FR,1,100,1,95,0,86,0,64,0,62,0,60,0,60,0,59,0,59,0,57,0,57,0,56,0,56,,
bf_teamnames,17,Reims,France,FR,Reims,100,Stade de Reims II,90,Reims Ste Anne,90,Reims Sainte-Anne,90,Trelissac,72,Schiltigheim SC,72,SC Dinsheim,68,Brest,60,Nimes,60,SC Schiltigheim,60,Arles,60,Schiltigheim,60,Biesheim,60,,
names_match,17,Reims,France,FR,1,100,0,90,0,90,0,90,0,72,0,72,0,68,0,60,0,60,0,60,0,60,0,60,0,60,,
bf_teamnames,14,Rennes,France,FR,Rennes,100,Rennes CPB-BY,90,Rennes TA,90,Valenciennes,75,Ales en Cevennes,75,Tarbes Pyrenees,75,US Sainte Marienne,75,St Etienne,71,Saint-Etienne,71,,68,Nantes,67,St-Renan,67,LErneenne,67,,
names_match,14,Rennes,France,FR,1,100,0,90,0,90,0,75,0,75,0,75,0,75,0,71,0,71,0,68,0,67,0,67,0,67,,
bf_teamnames,2,Rodez ,France,FR,Rodez,100,Rodez Aveyron,90,Rodez AF,90,Rodeo FC,72,Rouen,60,US Montagnarde,60,Roye Noyon,57,Troyes,55,Bordeaux,54,ESTAC Troyes,54,Bordeaux Stade,54,Quevilly Rouen,54,Bordeaux II,54,,
names_match,2,Rodez ,France,FR,1,100,1,90,1,90,0,72,0,60,0,60,0,57,0,55,0,54,0,54,0,54,0,54,0,54,,
bf_teamnames,11,Saint-Étienne,France,FR,Saint-Etienne,96,AS Saint Etienne II,86,Olympic Saint-Quentin,86,Saint Pryve-Hilaire,86,US Lusitanos Saint Maur,86,Saint Louis Neuweg,86,FC Saint Louis Neuweg,86,Entente Sannois Saint G,86,JS Saint Pierroise,86,St Etienne,82,US Sainte Marienne,73,Spain,72,Sion,68,,
names_match,11,Saint-Étienne,France,FR,1,96,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,1,82,0,73,0,72,0,68,,
bf_teamnames,13,Sochaux,France,FR,Sochaux,100,FC Sochaux Montbeliard II,90,US Chauvigny,64,Pau,60,Chauray,57,Schalke,57,Chateauroux,56,Bordeaux,53,SO Choletais,53,Montceau,53,Bordeaux Stade,51,Bordeaux II,51,Pontcharra-St-Loup,51,,
names_match,13,Sochaux,France,FR,1,100,0,90,0,64,0,60,0,57,0,57,0,56,0,53,0,53,0,53,0,51,0,51,0,51,,
bf_teamnames,17,Strasbourg,France,FR,Strasbourg,100,Olympique Strasbourg,90,Vauban Strasbourg,90,RC Strasbourg 2,90,Zenit St Petersburg,67,FC Bastia-Borgo,63,Rosenborg,63,Istres,60,Kaysersberg,57,Tours,54,Arras,54,FC Montceau Bourgogne,54,Stade Bordelais ASPTT,54,,
